20181119T122621Z,0,210,3.962
20181119T130401Z,0,249,3.941
20181119T134631Z,0,236,4.083
20181119T150201Z,0,548,3.804
20181119T154502Z,0,254,4.036
20181119T191707Z,0,139,4.011
20181120T052053Z,0,162,3.983
20181120T054103Z,0,157,3.977
20181120T090542Z,0,151,3.977
20181120T131218Z,0,119,3.970
20181120T150632Z,0,293,4.104
20181120T150911Z,0,240,3.869
20181120T151805Z,0,273,4.098
20181120T152001Z,0,189,4.096
20181120T155116Z,0,203,4.081
20181120T161036Z,0,236,4.104
20181120T162901Z,0,213,4.086
20181120T163851Z,0,148,4.088
20181120T173351Z,0,194,4.075
20181120T181501Z,0,236,4.069
20181120T182425Z,0,209,4.067
20181120T182527Z,0,180,4.077
20181120T184104Z,0,157,4.072
20181120T193052Z,0,173,4.065
20181120T195201Z,0,118,4.067
20181120T200316Z,0,142,4.075
20181120T200852Z,0,228,4.067
20181120T201651Z,0,197,4.073
20181120T205328Z,0,202,4.081
20181120T230116Z,0,162,4.070
20181121T053725Z,0,149,4.051
20181121T054202Z,0,171,4.043
20181121T062901Z,0,174,4.051
20181121T082250Z,0,202,4.043
20181121T091402Z,0,217,4.049
20181121T093941Z,0,246,4.040
20181121T111042Z,0,160,4.030
20181121T161722Z,0,225,4.022
20181121T200827Z,0,206,4.027
20181121T211216Z,0,136,4.017
20181122T052308Z,0,152,3.991
20181122T070503Z,0,200,4.001
20181122T080152Z,0,199,3.998
20181122T092147Z,0,173,3.996
20181123T060003Z,0,241,3.962
20181123T094303Z,0,235,3.948
20181123T103503Z,0,224,3.953
20181123T121943Z,0,203,3.956
20181123T123337Z,0,211,4.072
20181123T123801Z,0,205,3.993
20181123T123946Z,0,214,3.985
20181123T124221Z,0,237,3.982
20181124T100427Z,0,225,3.930
20181125T095343Z,0,217,3.896
20181125T095403Z,0,240,3.893
20181126T103717Z,0,119,3.867
20181127T064047Z,0,198,3.843
20181127T102918Z,0,216,3.922
20181127T114237Z,0,99,3.864
20181127T114240Z,0,452,3.856
